Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category,Priority
709,2c5,South PD 2 Tac,D,South Police 2 Tac,Law-Tac,Law Enforcement,0
635,27b,Everett PD,D,Everett Police Dispatch,Law Dispatch,Law Enforcement,0
637,27d,Everett Data,D,Everett Police Data,Law-Talk,Law Enforcement,0
643,283,Everett Tac,D,Everett Police Tac,Law-Tac,Law Enforcement,0
785,311,Everett ACT,D,Everett Police Anti Crime Team,Law-Tac,Law Enforcement,0
735,2df,Marysville PD 1,D,Marysville Police 1 Dispatch,Law Dispatch,Law Enforcement,0
737,2e1,Marysville PD 2,D,Marysville Police 2,Law-Talk,Law Enforcement,0
739,2e3,Marysville Tac,D,Marysville Police Tac 1,Law-Tac,Law Enforcement,0
649,289,Tulalip PD,D,Tulalip Police,Law Dispatch,Law Enforcement,0
651,28b,Tulalip Tac,D,Tulalip Police Tac,Law-Tac,Law Enforcement,0
921,399,SNO-OPS 11,D,Operations 11,Interop,Mutual Aid,0
951,3b7,SNO-OPS 4,D,SNO OPS 4,Interop,Mutual Aid,0
759,2f7,RT PROJECT,D,Radio Tech Project,Public Works,Public Works,0
901,385,Demo 1,D,Demo 1,Public Works,Public Works,0
